id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kedelai,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1445,TON,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12223,TON,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,17239,TON,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1068,TON,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,32551,TON,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5356,TON,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2043,TON,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1199,TON,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,107,TON,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,545,TON,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4641,TON,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,125,TON,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,353,TON,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,618,TON,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,235,TON,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,144,TON,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,317,TON,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,285,TON,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,41,TON,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,14,TON,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,2,TON,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,8,TON,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,34,TON,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,25,TON,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,26,TON,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,75,TON,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1243,TON,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6560,TON,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10918,TON,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1077,TON,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,33508,TON,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3935,TON,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3072,TON,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1248,TON,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,47,TON,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,911,TON,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4259,TON,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,109,TON,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1349,TON,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,754,TON,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,529,TON,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,201,TON,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,285,TON,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,343,TON,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,60,TON,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6,TON,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,17,TON,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,23,TON,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,42,TON,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,8,TON,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,59,TON,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,110,TON,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1207,TON,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5127,TON,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6461,TON,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,615,TON,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,23082,TON,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4399,TON,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1932,TON,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,705,TON,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,141,TON,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,783,TON,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5163,TON,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,92,TON,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,196,TON,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,301,TON,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,82,TON,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,126,TON,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,419,TON,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,288,TON,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,72,TON,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,20,TON,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,4,TON,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,24,TON,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,10,TON,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,93,TON,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,101,TON,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1080,TON,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3053,TON,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5290,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,420,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,14363,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2836,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,809,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,611,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,92,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,543,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3960,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,539,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,214,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,54,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,508,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,116,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,120,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,TON,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,5,TON,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,11,TON,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,101,TON,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,132,TON,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1227,TON,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2381,TON,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4212,TON,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,506,TON,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,16322,TON,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2242,TON,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,839,TON,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,514,TON,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,54,TON,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,573,TON,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4835,TON,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26,TON,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,239,TON,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,282,TON,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,382,TON,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,TON,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,407,TON,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,176,TON,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,125,TON,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,12,TON,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,2,TON,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,6,TON,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,12,TON,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,256,TON,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,190,TON,2019
